GAME,FROM,TO,ITEM,TRADE,OTHER_POKEMON,REQUIRED
"SWORD,SHIELD",Kubfu,Urshifu_Rapid Strike,,,,$TOWEROFWATERS
"SWORD,SHIELD",Urshifu_Single Strike,Urshifu_Single Strike_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Urshifu_Rapid Strike,Urshifu_Rapid Strike_GMAX,,,,$ISLEOFARMOR
LEGENDSARCEUS,Stantler,Wyrdeer,,,,
LEGENDSARCEUS,Scyther,Kleavor,Black Augurite,,,
LEGENDSARCEUS,Ursaring,Ursaluna,Peat Block,,,
LEGENDSARCEUS,Basculin_White-Striped_MALE,Basculegion_♂,,,,
LEGENDSARCEUS,Basculin_White-Striped_FEMALE,Basculegion_♀,,,,
LEGENDSARCEUS,Sneasel_Hisuian,Sneasler,Razor Claw,,,
LEGENDSARCEUS,Qwilfish_Hisuian,Overqwil,,,,
